DateTimeUTC,temp_01ft,temp_05ft,temp_10ft,temp_40ft,temp_70ft
"2025-12-22 21:15:00","56.74454","55.48996","55.52354","54.73599","54.33002"
"2025-12-22 21:15:00","368.4039513"
"2025-12-22 21:30:00","56.7598","55.47165","55.48386","54.70547","54.3117"
"2025-12-22 21:30:00","368.4101342"
"2025-12-22 21:45:00","56.72776","55.50217","55.52965","54.67647","54.32543"
"2025-12-22 21:45:00","368.4108619"
"2025-12-22 22:00:00","56.72318","55.49149","55.54491","54.63679","54.40327"
"2025-12-22 22:00:00","368.4054061"
"2025-12-22 22:15:00","56.73386","55.53117","55.54186","54.7192","54.43838"
"2025-12-22 22:15:00","368.4241385"
"2025-12-22 22:30:00","56.76286","55.5266","55.54033","54.76347","54.42312"
"2025-12-22 22:30:00","368.4168638"
"2025-12-22 22:45:00","56.77202","55.45333","55.4686","54.69326","54.4277"
"2025-12-22 22:45:00","368.3886752"
"2025-12-22 23:00:00","56.73233","55.46249","55.43349","54.76041","54.38496"
"2025-12-22 23:00:00","368.4252293"
"2025-12-22 23:15:00","56.70639","55.45944","55.4396","54.7711","54.44143"
"2025-12-22 23:15:00","368.4214104"
"2025-12-22 23:30:00","56.73844","55.45181","55.42128","54.81383","54.44753"
"2025-12-22 23:30:00","368.4132265"
"2025-12-22 23:45:00","56.73539","55.47165","55.39992","54.79247","54.49332"
"2025-12-22 23:45:00","368.4003139"
"2025-12-23 00:00:00","56.71096","55.48844","55.39228","54.8001","54.5269"
"2025-12-23 00:00:00","368.4121352"
"2025-12-23 00:15:00","56.68349","55.44571","55.36786","54.82299","54.4109"
"2025-12-23 00:15:00","368.4081343"
"2025-12-23 00:30:00","56.66518","55.45791","55.40602","54.8291","54.49027"
"2025-12-23 00:30:00","368.4024959"
"2025-12-23 00:45:00","56.6377","55.43502","55.38923","54.84283","54.49943"
"2025-12-23 00:45:00","368.3970407"
"2025-12-23 01:00:00","56.6255","55.41212","55.36176","54.83215","54.47654"
"2025-12-23 01:00:00","368.4077707"
"2025-12-23 01:15:00","56.64228","55.43502","55.3694","54.80773","54.51316"
"2025-12-23 01:15:00","368.400496"
"2025-12-23 01:30:00","56.64687","55.49302","55.47165","54.83062","54.35443"
"2025-12-23 01:30:00","368.4104983"
"2025-12-23 01:45:00","56.65602","55.47012","55.46249","54.80315","54.37428"
"2025-12-23 01:45:00","368.4030421"
"2025-12-23 02:00:00","56.66212","55.4686","55.42128","54.80773","54.39259"
"2025-12-23 02:00:00","368.4088614"
"2025-12-23 02:15:00","56.61023","55.47165","55.41365","54.84893","54.39259"
"2025-12-23 02:15:00","368.4041333"
"2025-12-23 02:30:00","56.67587","55.48844","55.30223","54.86572","54.38801"
"2025-12-23 02:30:00","368.3955853"
"2025-12-23 02:45:00","56.64381","55.5098","55.40907","54.85809","54.4048"
"2025-12-23 02:45:00","368.398677"
